word,pos,exam_tag,exam_category,difficulty,frequency_rank
organize,verb,GENERAL,GENERAL,3,325
pack,verb,GENERAL,GENERAL,3,326
pad,verb,GENERAL,GENERAL,3,327
paint,verb,GENERAL,GENERAL,3,328
park,verb,GENERAL,GENERAL,3,329
part,verb,GENERAL,GENERAL,3,330
pass,verb,GENERAL,GENERAL,3,331
paste,verb,GENERAL,GENERAL,3,332
pat,verb,GENERAL,GENERAL,3,333
pause,verb,GENERAL,GENERAL,3,334
pay,verb,GENERAL,GENERAL,3,335
peck,verb,GENERAL,GENERAL,3,336
pedal,verb,GENERAL,GENERAL,3,337
peel,verb,GENERAL,GENERAL,3,338
peep,verb,GENERAL,GENERAL,3,339
perform,verb,GENERAL,GENERAL,3,340
permit,verb,GENERAL,GENERAL,3,341
phone,verb,GENERAL,GENERAL,3,342
pick,verb,GENERAL,GENERAL,3,343
pinch,verb,GENERAL,GENERAL,3,344
pine,verb,GENERAL,GENERAL,3,345
place,verb,GENERAL,GENERAL,3,346
plan,verb,GENERAL,GENERAL,3,347
plant,verb,GENERAL,GENERAL,3,348
play,verb,GENERAL,GENERAL,3,349
plead,verb,GENERAL,GENERAL,3,350
please,verb,GENERAL,GENERAL,3,351
pledge,verb,GENERAL,GENERAL,3,352
plow,verb,GENERAL,GENERAL,3,353
plug,verb,GENERAL,GENERAL,3,354
point,verb,GENERAL,GENERAL,3,355
poke,verb,GENERAL,GENERAL,3,356
polish,verb,GENERAL,GENERAL,3,357
pop,verb,GENERAL,GENERAL,3,358
possess,verb,GENERAL,GENERAL,3,359
post,verb,GENERAL,GENERAL,3,360
